cluster,metric,group,delta_pp
c4,species,MSQD,8.436362571664679
c4,species,CMCK,-2.1557575744473167
c4,species,PSDN,-0.24472635633674567
c4,species,YTNA,-0.09311114185439713
c4,species,NANC,0.06342100990249441
c4,species,BTNA,-0.006316698939203599
c5,species,MSQD,4.525357620328255
c5,species,CMCK,-0.3060489349346238
c5,species,PSDN,-0.06463727901203625
c5,species,NANC,0.03683172235916096
c5,species,DCRB,-0.01029042684541695
c5,species,ALBC,-0.003440810671121147
c6,species,NANC,-0.38041372882689284
c6,species,PSDN,-0.34703959724025346
c6,species,CMCK,0.06302032592513056
c6,species,DCRB,0.015025471402049795
c6,species,SOCK,0.006232554036223088
c7,species,MSQD,4.9778483174272
c7,species,CMCK,-1.8826126244279762
c7,species,JMCK,-0.814586941543163
c7,species,NANC,-0.38748545471197354
c7,species,PSDN,0.008624397669770292
